obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,3,7.05,100,12,61,false,false,true,false,false,false,false,Secundaria completa,Hombre,PIURA,Costa,No especificado,Venta,Comerciante mayorista,No especificado
true,5,2.8,93.26,25,55,false,false,true,true,false,false,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,22,95,21,38,false,false,false,false,false,false,false,Primaria completa,Mujer,PUNO,Selva,Secano,Venta,Comerciante mayorista,Secano
true,9,20.5,0,40,64,false,false,true,false,false,false,false,Primaria completa,Hombre,PUNO,Sierra,Secano,Otro,Sin ventas,Secano
true,7,19.5,0,37,58,false,false,true,false,false,false,false,Primaria completa,Hombre,PUNO,Sierra,Secano,Otro,Sin ventas,Secano
true,5,54,0,35,64,false,false,true,false,false,false,false,Primaria completa,Mujer,PUNO,Sierra,Secano,Autoconsumo,Sin ventas,Secano
true,13,4.35,6.06,7,27,false,true,true,false,false,false,false,Secundaria completa,Mujer,PUNO,Sierra,Gravedad,Autoconsumo,Consumidor final,Gravedad
true,8,1.45,0,25,39,false,false,true,false,false,false,false,Secundaria incompleta,Mujer,PUNO,Sierra,Gravedad,Autoconsumo,Sin ventas,Gravedad
true,4,8.5,89.36,27,44,false,true,true,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,1,25,100,15,52,false,true,true,false,false,false,false,Secundaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,2,100,90.86,22,40,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,SAN MARTIN,Selva,Gravedad,Venta,Acopiador,Gravedad
true,1,12,99.01,48,71,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,1,4.8,99.59,5,58,false,true,true,false,false,false,false,Secundaria completa,Hombre,TACNA,Costa,Goteo,Venta,Consumidor final,Goteo
true,1,2,99.85,17,48,false,false,false,false,false,false,false,Secundaria incompleta,Mujer,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,3,1.9,99.92,17,67,false,true,false,false,false,false,false,Primaria incompleta,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,3.07,100,15,60,false,false,true,false,false,false,true,Secundaria completa,Hombre,TUMBES,Costa,No especificado,Venta,Acopiador,No especificado
true,2,25,0,29,60,false,false,true,false,false,false,false,Secundaria completa,Hombre,UCAYALI,Selva,Secano,Otro,Sin ventas,Secano
true,2,61,98.63,30,53,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AMAZONAS,Selva,Secano,Venta,Acopiador,Secano
true,3,22,98.76,30,48,false,true,true,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,3.3,0,25,48,false,true,false,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Secano,Otro,Sin ventas,Secano
true,2,1.5,0,44,69,false,false,false,false,false,false,false,Secundaria incompleta,Hombre,ANCASH,Sierra,No especificado,Otro,Sin ventas,No especificado
true,1,16,100,45,92,false,false,true,false,false,false,true,Primaria incompleta,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,12,100,4,39,false,false,false,false,false,false,false,Superior universitaria completa,Hombre,AREQUIPA,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,2,10.5,100,12,52,false,false,true,false,false,false,true,Superior no universitaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,1,2.97,100,12,44,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,3,7.65,98.37,25,43,false,false,true,false,false,false,false,Primaria incompleta,Hombre,AYACUCHO,Selva,Secano,Venta,Acopiador,Secano
true,12,10.25,75.95,12,29,false,false,true,false,false,false,false,Primaria completa,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante minorista,Aspersion
true,1,5.78,99.38,30,51,false,false,true,false,false,true,false,Secundaria incompleta,Hombre,AYACUCHO,Sierra,Goteo,Venta,Acopiador,Goteo
